high,low,open,source,symbol,timestamp,value,volume,percent_change
443.67,435.66,437.93,alpha_vantage,MSFT,2025-05-08T00:00:00+00:00,438.17,23491330,
440.74,435.88,440.0,alpha_vantage,MSFT,2025-05-09T00:00:00+00:00,438.73,15324233,0.001278042768788375
449.37,439.78,445.94,alpha_vantage,MSFT,2025-05-12T00:00:00+00:00,449.26,22821935,0.02400109406696595
450.6733,445.36,447.78,alpha_vantage,MSFT,2025-05-13T00:00:00+00:00,449.14,23618819,-0.00026710590749233086
453.9,448.14,448.14,alpha_vantage,MSFT,2025-05-14T00:00:00+00:00,452.94,19902796,0.008460613617134995
456.19,450.4301,450.765,alpha_vantage,MSFT,2025-05-15T00:00:00+00:00,453.13,21992323,0.00041948160904313535
454.36,448.73,452.05,alpha_vantage,MSFT,2025-05-16T00:00:00+00:00,454.27,23849781,0.0025158343080351918
459.585,450.8,450.875,alpha_vantage,MSFT,2025-05-19T00:00:00+00:00,458.87,21336509,0.010126136438681892
458.34,454.3201,455.59,alpha_vantage,MSFT,2025-05-20T00:00:00+00:00,458.17,15441808,-0.0015254865212369268
457.78,451.814,454.57,alpha_vantage,MSFT,2025-05-21T00:00:00+00:00,452.57,19216906,-0.012222537486086
460.25,453.9,454.95,alpha_vantage,MSFT,2025-05-22T00:00:00+00:00,454.86,18025612,0.005059990719667721
453.69,448.91,449.98,alpha_vantage,MSFT,2025-05-23T00:00:00+00:00,450.18,16883509,-0.010288880094974293
460.95,456.115,456.48,alpha_vantage,MSFT,2025-05-27T00:00:00+00:00,460.69,20974293,0.023346217068728043
462.52,456.93,461.22,alpha_vantage,MSFT,2025-05-28T00:00:00+00:00,457.36,17086261,-0.007228288002778406
461.72,455.3105,461.55,alpha_vantage,MSFT,2025-05-29T00:00:00+00:00,458.68,13982211,0.002886129088682861
461.68,455.54,459.715,alpha_vantage,MSFT,2025-05-30T00:00:00+00:00,460.36,34770475,0.00366268422429582
462.11,456.89,457.14,alpha_vantage,MSFT,2025-06-02T00:00:00+00:00,461.97,16626495,0.003497263011556203
464.14,460.8622,461.47,alpha_vantage,MSFT,2025-06-03T00:00:00+00:00,462.97,15743760,0.00216464272571812
465.69,463.0201,464.0,alpha_vantage,MSFT,2025-06-04T00:00:00+00:00,463.87,14162688,0.0019439704516490857
469.65,464.03,464.955,alpha_vantage,MSFT,2025-06-05T00:00:00+00:00,467.68,20154460,0.008213508094940397
473.335,468.78,470.085,alpha_vantage,MSFT,2025-06-06T00:00:00+00:00,470.38,15285624,0.0057731782415326475
473.43,468.62,469.7,alpha_vantage,MSFT,2025-06-09T00:00:00+00:00,472.75,16469932,0.005038479527190791
472.8,466.96,471.185,alpha_vantage,MSFT,2025-06-10T00:00:00+00:00,470.92,15375944,-0.00387096774193545
475.47,469.655,470.02,alpha_vantage,MSFT,2025-06-11T00:00:00+00:00,472.62,16399176,0.0036099549817378506
480.415,473.52,475.02,alpha_vantage,MSFT,2025-06-12T00:00:00+00:00,478.87,18950582,0.013224154712030808
479.18,472.76,476.41,alpha_vantage,MSFT,2025-06-13T00:00:00+00:00,474.96,16814456,-0.008165055234197225
480.6943,475.0,475.21,alpha_vantage,MSFT,2025-06-16T00:00:00+00:00,479.14,15626104,0.008800741115041281
478.7399,474.08,475.395,alpha_vantage,MSFT,2025-06-17T00:00:00+00:00,478.04,15414128,-0.002295779939057407
481.0,474.46,478.0,alpha_vantage,MSFT,2025-06-18T00:00:00+00:00,480.24,17526452,0.004602125345159377
483.46,476.87,482.23,alpha_vantage,MSFT,2025-06-20T00:00:00+00:00,477.4,37576206,-0.005913709811760853
487.75,472.51,478.21,alpha_vantage,MSFT,2025-06-23T00:00:00+00:00,486.0,24863952,0.018014243820695483
491.849,486.795,488.95,alpha_vantage,MSFT,2025-06-24T00:00:00+00:00,490.11,22305642,0.008456790123456818
494.5556,489.39,492.04,alpha_vantage,MSFT,2025-06-25T00:00:00+00:00,492.27,17495099,0.004407173899736729
498.04,492.81,492.98,alpha_vantage,MSFT,2025-06-26T00:00:00+00:00,497.45,21578853,0.010522680642736724
499.3,493.03,497.55,alpha_vantage,MSFT,2025-06-27T00:00:00+00:00,495.94,34539236,-0.0030354809528595657
500.76,495.33,497.04,alpha_vantage,MSFT,2025-06-30T00:00:00+00:00,497.41,28368991,0.002964068234060627
498.05,490.98,496.47,alpha_vantage,MSFT,2025-07-01T00:00:00+00:00,492.05,19945375,-0.010775818741078814
493.5,488.7,489.99,alpha_vantage,MSFT,2025-07-02T00:00:00+00:00,491.09,16319641,-0.0019510212376791715
500.13,493.44,493.81,alpha_vantage,MSFT,2025-07-03T00:00:00+00:00,498.84,13984829,0.015781221364719298
498.75,495.225,497.38,alpha_vantage,MSFT,2025-07-07T00:00:00+00:00,497.72,13981605,-0.002245208884612196
498.2,494.11,497.24,alpha_vantage,MSFT,2025-07-08T00:00:00+00:00,496.62,11846586,-0.0022100779554770204
506.78,499.74,500.3,alpha_vantage,MSFT,2025-07-09T00:00:00+00:00,503.51,18659538,0.013873786798759587
504.44,497.75,503.05,alpha_vantage,MSFT,2025-07-10T00:00:00+00:00,501.48,16498740,-0.0040316974836646195
505.03,497.795,498.47,alpha_vantage,MSFT,2025-07-11T00:00:00+00:00,503.32,16459512,0.0036691393475312573
503.97,501.03,501.515,alpha_vantage,MSFT,2025-07-14T00:00:00+00:00,503.02,12058848,-0.0005960422792656985
508.3,502.79,503.02,alpha_vantage,MSFT,2025-07-15T00:00:00+00:00,505.82,14927202,0.005566379070414718
506.72,501.89,505.18,alpha_vantage,MSFT,2025-07-16T00:00:00+00:00,505.62,15154374,-0.00039539757225888386
513.37,505.62,505.68,alpha_vantage,MSFT,2025-07-17T00:00:00+00:00,511.7,17503129,0.012024840789525698
514.64,507.43,514.48,alpha_vantage,MSFT,2025-07-18T00:00:00+00:00,510.05,21209666,-0.0032245456322063265
512.09,505.55,506.705,alpha_vantage,MSFT,2025-07-21T00:00:00+00:00,510.06,14066805,1.9605920988120585e-05
511.2,505.27,510.97,alpha_vantage,MSFT,2025-07-22T00:00:00+00:00,505.27,13868644,-0.009391052033094186
506.79,500.7,506.75,alpha_vantage,MSFT,2025-07-23T00:00:00+00:00,505.87,16396585,0.0011874839194886352
513.67,507.3,508.77,alpha_vantage,MSFT,2025-07-24T00:00:00+00:00,510.88,16107000,0.009903730207365511
518.29,510.3592,512.465,alpha_vantage,MSFT,2025-07-25T00:00:00+00:00,513.71,19125699,0.00553946132164117
515.0,510.12,514.08,alpha_vantage,MSFT,2025-07-28T00:00:00+00:00,512.5,14308027,-0.002355414533491729
517.62,511.56,515.53,alpha_vantage,MSFT,2025-07-29T00:00:00+00:00,512.57,16469235,0.00013658536585375614
515.95,509.435,515.17,alpha_vantage,MSFT,2025-07-30T00:00:00+00:00,513.24,26380434,0.0013071385371753303
555.45,531.9,555.225,alpha_vantage,MSFT,2025-07-31T00:00:00+00:00,533.5,51617326,0.03947470968747563
535.8,520.86,535.0,alpha_vantage,MSFT,2025-08-01T00:00:00+00:00,524.11,28977628,-0.017600749765698195
538.25,528.13,528.27,alpha_vantage,MSFT,2025-08-04T00:00:00+00:00,535.64,25349004,0.021999198641506502
537.3,527.24,537.18,alpha_vantage,MSFT,2025-08-05T00:00:00+00:00,527.75,19171569,-0.014730042565902447
531.7,524.03,530.9,alpha_vantage,MSFT,2025-08-06T00:00:00+00:00,524.94,21355702,-0.005324490762671616
528.09,517.5511,526.8,alpha_vantage,MSFT,2025-08-07T00:00:00+00:00,520.84,16079144,-0.007810416428544257
524.66,519.41,522.6,alpha_vantage,MSFT,2025-08-08T00:00:00+00:00,522.04,15531009,0.0023039705091773516
527.59,519.72,522.3,alpha_vantage,MSFT,2025-08-11T00:00:00+00:00,521.77,20194372,-0.0005172017469925328
530.98,522.7,523.75,alpha_vantage,MSFT,2025-08-12T00:00:00+00:00,529.24,18688921,0.01431665293136828
532.7,519.37,532.11,alpha_vantage,MSFT,2025-08-13T00:00:00+00:00,520.58,19619160,-0.016363086690348364
525.9499,520.14,522.56,alpha_vantage,MSFT,2025-08-14T00:00:00+00:00,522.48,20269074,0.0036497752506818876
526.1,519.08,522.77,alpha_vantage,MSFT,2025-08-15T00:00:00+00:00,520.17,25213272,-0.004421221864951881
522.82,514.02,521.585,alpha_vantage,MSFT,2025-08-18T00:00:00+00:00,517.1,23760583,-0.005901916681084908
515.1641,508.55,515.0,alpha_vantage,MSFT,2025-08-19T00:00:00+00:00,509.77,21481016,-0.014175207890156721
511.0,504.44,509.865,alpha_vantage,MSFT,2025-08-20T00:00:00+00:00,505.72,27723025,-0.007944759401298535
507.63,502.7201,503.69,alpha_vantage,MSFT,2025-08-21T00:00:00+00:00,504.24,18443254,-0.002926520604286993
510.73,502.41,504.25,alpha_vantage,MSFT,2025-08-22T00:00:00+00:00,507.23,24324161,0.0059297160082500576
508.19,504.12,506.63,alpha_vantage,MSFT,2025-08-25T00:00:00+00:00,504.26,21638579,-0.005855331900715705
504.9778,498.51,504.355,alpha_vantage,MSFT,2025-08-26T00:00:00+00:00,502.04,30835709,-0.004402490778566554
507.29,499.9,502.0,alpha_vantage,MSFT,2025-08-27T00:00:00+00:00,506.74,17277893,0.009361803840331424
511.09,505.5,507.09,alpha_vantage,MSFT,2025-08-28T00:00:00+00:00,509.64,18015593,0.005722855902435129
509.6,504.4915,508.66,alpha_vantage,MSFT,2025-08-29T00:00:00+00:00,506.69,20961569,-0.005788399654658168
506.0,496.81,500.465,alpha_vantage,MSFT,2025-09-02T00:00:00+00:00,505.12,18127995,-0.0030985415145355012
507.79,502.32,503.79,alpha_vantage,MSFT,2025-09-03T00:00:00+00:00,505.35,15995154,0.000455337345581284
508.15,503.15,504.3,alpha_vantage,MSFT,2025-09-04T00:00:00+00:00,507.97,15509486,0.005184525576333243
511.97,492.37,509.07,alpha_vantage,MSFT,2025-09-05T00:00:00+00:00,495.0,31994846,-0.02553300391755424
501.195,495.03,498.105,alpha_vantage,MSFT,2025-09-08T00:00:00+00:00,498.2,16771015,0.006464646464646442
502.25,497.7,501.43,alpha_vantage,MSFT,2025-09-09T00:00:00+00:00,498.41,14410542,0.0004215174628663918
503.2299,496.72,502.98,alpha_vantage,MSFT,2025-09-10T00:00:00+00:00,500.37,21611816,0.003932505367067233
503.17,497.88,502.25,alpha_vantage,MSFT,2025-09-11T00:00:00+00:00,501.01,18881608,0.0012790535004096695
512.55,503.85,506.65,alpha_vantage,MSFT,2025-09-12T00:00:00+00:00,509.9,23624884,0.01774415680325739
515.47,507.0,508.79,alpha_vantage,MSFT,2025-09-15T00:00:00+00:00,515.36,17143786,0.010707981957246591
517.23,508.6,516.88,alpha_vantage,MSFT,2025-09-16T00:00:00+00:00,509.04,19711922,-0.012263272275690766
511.29,505.93,510.62,alpha_vantage,MSFT,2025-09-17T00:00:00+00:00,510.02,15816585,0.0019251925192518492
513.07,507.66,511.49,alpha_vantage,MSFT,2025-09-18T00:00:00+00:00,508.45,18913696,-0.0030783106544841248
519.3,510.31,510.56,alpha_vantage,MSFT,2025-09-19T00:00:00+00:00,517.93,52474093,0.018644901170223153
517.74,512.545,515.59,alpha_vantage,MSFT,2025-09-22T00:00:00+00:00,514.45,20009314,-0.006719054698511198
514.5899,507.31,513.8,alpha_vantage,MSFT,2025-09-23T00:00:00+00:00,509.23,19799580,-0.010146758674312424
512.48,506.92,510.38,alpha_vantage,MSFT,2025-09-24T00:00:00+00:00,510.15,13533711,0.001806649254757102
510.01,505.04,508.3,alpha_vantage,MSFT,2025-09-25T00:00:00+00:00,507.03,15786468,-0.00611584827991768
513.94,506.62,510.06,alpha_vantage,MSFT,2025-09-26T00:00:00+00:00,511.46,16213129,0.008737155592371273
516.845,508.88,511.5,alpha_vantage,MSFT,2025-09-29T00:00:00+00:00,514.6,17617775,0.006139287529816688
518.16,509.66,513.24,alpha_vantage,MSFT,2025-09-30T00:00:00+00:00,517.95,19494206,0.00650991061018271
